nama_ilmiah,nama_lokal,kategori,sumber
Sterculia urceolata,,pohon_pakan,LFP Slow Loris Translocation Guide 2024
Dysoxylum gaudichaudianum,,pohon_pakan,LFP Slow Loris Translocation Guide 2024
Litsea velutina,,pohon_pakan,LFP Slow Loris Translocation Guide 2024
Spondias pinnata,Kedondong hutan,pohon_pakan,LFP Slow Loris Translocation Guide 2024
Acacia decurrens,,pohon_pakan,LFP Slow Loris Translocation Guide 2024
Calliandra calothyrsus,Kaliandra,pohon_pakan,LFP Slow Loris Translocation Guide 2024
Aphananthe cuspidata,,pohon_pakan,LFP Slow Loris Translocation Guide 2024
Artocarpus heterophyllus,Nangka,pohon_pakan,LFP Slow Loris Translocation Guide 2024
Ficus sundaica,,pohon_pakan,LFP Slow Loris Translocation Guide 2024
Garcinia celebica,,pohon_pakan,LFP Slow Loris Translocation Guide 2024
Bambusa spp.,Bambu,pohon_tidur,LFP Slow Loris Translocation Guide 2024
Persea americana,Alpukat,pohon_tidur,LFP Slow Loris Translocation Guide 2024
Toona sinensis,Suren,pohon_tidur,LFP Slow Loris Translocation Guide 2024
Eucalyptus radiata,Kayu putih,pohon_tidur,LFP Slow Loris Translocation Guide 2024
